WORD,LENGTH,FREQUENCY,POS,CONCRETENESS,IMAGEABILITY,PICTURE
shed,4,10.98,NN|VB,611,602,NO
machine,7,70.25,NN|VB,578,575,NO
brandy,6,11.12,NN,595,590,NO
passenger,9,10.76,NN,562,529,NO
vodka,5,10.1,NN,576,613,NO
artist,6,28.63,NN,554,600,NO
audience,8,25.37,NN,515,555,NO
alley,5,16.29,NN,557,572,NO
thorn,5,5.1,NN,586,600,NO
shoulder,8,26.2,NN|VB,589,577,NO
branch,6,10.08,NN|VB,583,548,NO
costume,7,14.14,NN,544,538,NO
ticket,6,45.57,NN|VB,590,574,NO
jail,4,70.63,NN|VB,590,608,NO
port,4,14.53,NN|VB,531,546,NO
fireplace,9,5.08,NN,592,639,NO
floor,5,100.63,NN|VB,559,544,NO
hardware,8,6.82,NN,560,576,NO
fuel,4,17.18,NN|VB,559,521,NO
judge,5,79.67,NN|VB,506,558,NO
giant,5,27.06,NN|JJ,515,562,NO
store,5,81.92,NN|VB,548,506,NO
scratch,7,18.84,NN|VB,523,543,NO
ground,6,72.47,NN|VB,558,513,NO
chocolate,9,29.39,NN,576,611,NO
island,6,39.57,NN,596,643,NO
cocktail,8,10.88,NN,576,604,NO
snow,4,31.35,NN|VB,618,597,NO
wind,4,59.37,NN|VB,552,535,NO
closet,6,27.08,NN,599,525,NO
hockey,6,11.53,NN,535,593,NO
heel,4,7.39,NN,579,597,NO
mansion,7,6.45,NN,579,628,NO
road,4,111.94,NN,583,609,NO
sail,4,13.75,NN|VB,567,597,NO
skirt,5,9.96,NN|VB,614,573,NO
slave,5,18.43,NN|VB,539,564,NO
body,4,195.53,NN,568,614,NO
board,5,64.16,NN|VB,565,592,NO
puppy,5,11.45,NN,623,635,NO
college,7,85.18,NN|VB,554,590,NO
ship,4,98.88,NN|VB,615,612,NO
physician,9,6.14,NN,573,572,NO
gravy,5,5.27,NN,606,594,NO
ocean,5,30.29,NN,593,623,NO
organ,5,7.25,NN,596,576,NO
highway,7,17.86,NN,575,581,NO
patch,5,17.41,NN|VB,558,529,NO
vault,5,12.04,NN|VB,550,550,NO
corridor,8,5.57,NN,568,553,NO
instrument,10,8.1,NN,543,521,NO
choir,5,5.31,NN,567,567,NO
collar,6,10.51,NN|VB,622,582,NO
picture,7,138.45,NN|VB,579,581,NO
forest,6,18.88,NN,609,633,NO
jacket,6,33.41,NN,635,611,NO
wall,4,70.69,NN|VB,589,576,NO
avenue,6,16.88,NN,539,564,NO
boat,4,95.78,NN,637,631,NO
carriage,8,7.47,NN,576,529,NO
skin,4,44.04,NN|VB,614,638,NO
cellar,6,9.37,NN,572,572,NO
scout,5,12.88,NN|VB,562,578,NO
wreck,5,13.67,NN|VB,505,595,NO
purse,5,19.76,NN|VB,572,567,NO
poet,4,9.22,NN,552,518,NO
porch,5,9.63,NN,596,586,NO
boot,4,11.14,NN|VB,595,604,NO
magician,8,7.65,NN,560,569,NO
dentist,7,11.2,NN,607,622,NO
meal,4,28.86,NN,602,573,NO
furniture,9,15.08,NN,583,588,NO
date,4,141.53,NN|VB,514,501,NO
lane,4,33.41,NN,537,543,NO
flame,5,9.04,NN|VB,582,598,NO
band,4,53.41,NN|VB,590,579,NO
child,5,157.65,NN,581,619,NO
envelope,8,10.06,NN,579,554,NO
photograph,10,11.35,NN|VB,590,618,NO
roof,4,35.65,NN,586,604,NO
test,4,84.08,NN|VB,520,528,NO
soldier,7,38.92,NN|VB,578,578,NO
paper,5,103.35,NN|VB,599,590,YES
mistress,8,11.88,NN,530,535,NO
armor,5,7.29,NN,544,503,NO
swamp,5,8.98,NN|VB,570,600,NO
soil,4,7.78,NN|VB,581,566,NO
note,4,53.55,NN|VB,525,503,NO
corner,6,52.53,NN|VB,533,556,NO
tide,4,7.35,NN|VB,516,530,NO
cafe,4,5.06,NN,568,625,NO
jeep,4,10.27,NN,622,659,NO
poison,6,24.55,NN|VB,527,513,NO
lunch,5,104.12,NN|VB,552,602,NO
circus,6,17.06,NN,535,586,NO
dust,4,23.84,NN|VB,550,549,NO
beer,4,75.49,NN,587,598,NO
hill,4,37.55,NN,588,607,NO
ankle,5,8.02,NN,608,613,NO
president,9,140.67,NN,526,572,NO
hound,5,5.04,NN|VB,583,596,NO
bolt,4,6.88,NN|VB,556,551,NO
hawk,4,12.75,NN|VB,623,591,NO
pump,4,12.65,NN|VB,556,556,NO
cook,4,45.57,NN|VB,502,504,NO
corpse,6,10.1,NN,587,614,NO
dial,4,8.86,NN|VB,537,541,NO
